,Strategy,Simulation,Iterations,Samples,Area,Error
0,random,0.0,10.0,100.0,1.2393000000000003,0.4834859504132233
1,random,1.0,10.0,100.0,0.8383500000000002,0.08253595041322315
2,random,2.0,10.0,100.0,1.1664,0.4105859504132231
3,random,3.0,10.0,100.0,1.3486500000000001,0.5928359504132231
4,random,4.0,10.0,100.0,0.8019000000000001,0.046085950413223054
5,random,5.0,10.0,100.0,1.1299500000000002,0.37413595041322323
6,random,6.0,10.0,100.0,1.0206000000000002,0.26478595041322317
7,random,7.0,10.0,100.0,0.8748000000000001,0.11898595041322313
8,random,8.0,10.0,100.0,0.8383500000000002,0.08253595041322315
9,random,9.0,10.0,100.0,1.2028500000000002,0.4470359504132232
10,random,0.0,10.0,144.0,0.9618750000000001,0.20606095041322314
11,random,1.0,10.0,144.0,1.1137500000000002,0.35793595041322324
12,random,2.0,10.0,144.0,1.0884375000000002,0.33262345041322317
13,random,3.0,10.0,144.0,0.9618750000000001,0.20606095041322314
14,random,4.0,10.0,144.0,1.1896875000000002,0.4338734504132232
15,random,5.0,10.0,144.0,1.0378125,0.281998450413223
16,random,6.0,10.0,144.0,1.0378125,0.281998450413223
17,random,7.0,10.0,144.0,0.9871875000000001,0.2313734504132231
18,random,8.0,10.0,144.0,0.9112500000000001,0.1554359504132231
19,random,9.0,10.0,144.0,1.0884375000000002,0.33262345041322317
20,random,0.0,10.0,196.0,1.0228316326530613,0.2670175830662843
21,random,1.0,10.0,196.0,0.8740561224489797,0.11824207286220267
22,random,2.0,10.0,196.0,1.1530102040816328,0.3971961544948558
23,random,3.0,10.0,196.0,0.9112500000000001,0.1554359504132231
24,random,4.0,10.0,196.0,1.0972193877551022,0.3414053381683252
25,random,5.0,10.0,196.0,1.0228316326530613,0.2670175830662843
26,random,6.0,10.0,196.0,1.1158163265306125,0.36000227694383546
27,random,7.0,10.0,196.0,0.8740561224489797,0.11824207286220267
28,random,8.0,10.0,196.0,1.0600255102040816,0.30421146061730464
29,random,9.0,10.0,196.0,0.9484438775510206,0.19262982796424355
30,random,0.0,10.0,225.0,1.1016000000000001,0.34578595041322313
31,random,1.0,10.0,225.0,1.1016000000000001,0.34578595041322313
32,random,2.0,10.0,225.0,0.8424,0.08658595041322303
33,random,3.0,10.0,225.0,1.0854000000000001,0.32958595041322314
34,random,4.0,10.0,225.0,0.9558000000000002,0.1999859504132232
35,random,5.0,10.0,225.0,1.0044000000000002,0.24858595041322318
36,random,6.0,10.0,225.0,1.1016000000000001,0.34578595041322313
37,random,7.0,10.0,225.0,0.9720000000000001,0.21618595041322308
38,random,8.0,10.0,225.0,0.9882000000000002,0.23238595041322319
39,random,9.0,10.0,225.0,0.9720000000000001,0.21618595041322308
40,random,0.0,10.0,256.0,0.9112500000000001,0.1554359504132231
41,random,1.0,10.0,256.0,0.9966796875000001,0.24086563791322313
42,random,2.0,10.0,256.0,1.0536328125,0.29781876291322307
43,random,3.0,10.0,256.0,1.01091796875,0.25510391916322306
44,random,4.0,10.0,256.0,0.8827734375000001,0.12695938791322314
45,random,5.0,10.0,256.0,0.8970117187500001,0.14119766916322307
46,random,6.0,10.0,256.0,0.9539648437500001,0.19815079416322312
47,random,7.0,10.0,256.0,0.8970117187500001,0.14119766916322307
48,random,8.0,10.0,256.0,1.0821093750000002,0.32629532541322315
49,random,9.0,10.0,256.0,1.0251562500000002,0.2693422004132232
50,random,0.0,10.0,324.0,1.0462500000000001,0.2904359504132231
51,random,1.0,10.0,324.0,1.1025000000000003,0.34668595041322325
52,random,2.0,10.0,324.0,1.08,0.32418595041322307
53,random,3.0,10.0,324.0,0.9450000000000001,0.18918595041322306
54,random,4.0,10.0,324.0,1.1362500000000002,0.3804359504132232
55,random,5.0,10.0,324.0,0.9562500000000002,0.20043595041322315
56,random,6.0,10.0,324.0,0.9787500000000002,0.22293595041322323
57,random,7.0,10.0,324.0,0.9787500000000002,0.22293595041322323
58,random,8.0,10.0,324.0,1.0237500000000002,0.26793595041322316
59,random,9.0,10.0,324.0,1.0575,0.3016859504132231
60,random,0.0,10.0,400.0,1.0023750000000002,0.24656095041322323
61,random,1.0,10.0,400.0,1.05705,0.30123595041322304
62,random,2.0,10.0,400.0,1.1026125000000002,0.3467984504132232
63,random,3.0,10.0,400.0,0.9659250000000001,0.21011095041322314
64,random,4.0,10.0,400.0,1.1846250000000003,0.42881095041322326
65,random,5.0,10.0,400.0,1.05705,0.30123595041322304
66,random,6.0,10.0,400.0,1.0114875000000003,0.2556734504132233
67,random,7.0,10.0,400.0,1.2301875000000002,0.4743734504132232
68,random,8.0,10.0,400.0,1.0023750000000002,0.24656095041322323
69,random,9.0,10.0,400.0,0.9203625000000001,0.16454845041322308
70,random,0.0,10.0,441.0,0.9505102040816328,0.19469615449485578
71,random,1.0,10.0,441.0,1.0414285714285716,0.2856145218417946
72,random,2.0,10.0,441.0,1.0248979591836738,0.26908390959689676
73,random,3.0,10.0,441.0,0.9009183673469389,0.14510431776016186
74,random,4.0,10.0,441.0,0.9091836734693879,0.15336962388261088
75,random,5.0,10.0,441.0,1.0001020408163266,0.24428799122954958
76,random,6.0,10.0,441.0,0.9587755102040817,0.2029614606173047
77,random,7.0,10.0,441.0,1.0331632653061227,0.2773492157193457
78,random,8.0,10.0,441.0,1.0662244897959186,0.31041044020914155
79,random,9.0,10.0,441.0,1.1902040816326531,0.4343900320458761
80,random,0.0,10.0,484.0,0.9037190082644629,0.14790495867768594
81,random,1.0,10.0,484.0,1.024214876033058,0.26840082644628105
82,random,2.0,10.0,484.0,1.0919938016528927,0.3361797520661157
83,random,3.0,10.0,484.0,0.9639669421487604,0.20815289256198344
84,random,4.0,10.0,484.0,1.0166838842975208,0.26086983471074376
85,random,5.0,10.0,484.0,1.0844628099173554,0.32864876033057844
86,random,6.0,10.0,484.0,0.9639669421487604,0.20815289256198344
87,random,7.0,10.0,484.0,0.9790289256198348,0.22321487603305779
88,random,8.0,10.0,484.0,0.9940909090909091,0.23827685950413213
89,random,9.0,10.0,484.0,0.9187809917355373,0.16296694214876029
90,random,0.0,10.0,576.0,1.0378125,0.281998450413223
91,random,1.0,10.0,576.0,0.92390625,0.16809220041322304
92,random,2.0,10.0,576.0,0.9808593750000001,0.22504532541322309
93,random,3.0,10.0,576.0,0.9871875000000001,0.2313734504132231
94,random,4.0,10.0,576.0,1.0125000000000002,0.2566859504132232
95,random,5.0,10.0,576.0,1.0757812500000001,0.31996720041322313
96,random,6.0,10.0,576.0,0.9998437500000003,0.24402970041322325
97,random,7.0,10.0,576.0,0.8669531250000001,0.1111390754132231
98,random,8.0,10.0,576.0,0.9998437500000003,0.24402970041322325
99,random,9.0,10.0,576.0,0.9112500000000001,0.1554359504132231
100,random,0.0,10.0,625.0,1.008936,0.25312195041322305
101,random,1.0,10.0,625.0,1.0147680000000001,0.2589539504132231
102,random,2.0,10.0,625.0,1.1314080000000002,0.3755939504132232
103,random,3.0,10.0,625.0,1.143072,0.3872579504132231
104,random,4.0,10.0,625.0,0.9331200000000002,0.17730595041322317
105,random,5.0,10.0,625.0,0.9914400000000002,0.2356259504132232
106,random,6.0,10.0,625.0,1.0031040000000002,0.24728995041322321
107,random,7.0,10.0,625.0,1.0672560000000002,0.3114419504132232
108,random,8.0,10.0,625.0,0.9914400000000002,0.2356259504132232
109,random,9.0,10.0,625.0,0.9797760000000001,0.2239619504132231
110,random,0.0,10.0,676.0,0.9759541420118344,0.2201400924250574
111,random,1.0,10.0,676.0,1.0622263313609468,0.3064122817741698
112,random,2.0,10.0,676.0,1.013698224852071,0.25788417526529395
113,random,3.0,10.0,676.0,1.0083062130177518,0.2524921634309748
114,random,4.0,10.0,676.0,1.1377144970414201,0.38190044745464313
115,random,5.0,10.0,676.0,1.0352662721893493,0.2794522226025723
116,random,6.0,10.0,676.0,1.0083062130177518,0.2524921634309748
117,random,7.0,10.0,676.0,1.0514423076923078,0.29562825810553084
118,random,8.0,10.0,676.0,1.0568343195266272,0.3010202699398502
119,random,9.0,10.0,676.0,0.992130177514793,0.23631612792801604
120,random,0.0,10.0,729.0,1.0500000000000003,0.29418595041322326
121,random,1.0,10.0,729.0,0.9800000000000002,0.2241859504132232
122,random,2.0,10.0,729.0,1.0150000000000001,0.2591859504132231
123,random,3.0,10.0,729.0,0.9600000000000002,0.20418595041322318
124,random,4.0,10.0,729.0,1.0150000000000001,0.2591859504132231
125,random,5.0,10.0,729.0,0.9450000000000001,0.18918595041322306
126,random,6.0,10.0,729.0,0.9750000000000001,0.21918595041322309
127,random,7.0,10.0,729.0,0.8900000000000001,0.13418595041322312
128,random,8.0,10.0,729.0,0.9650000000000001,0.20918595041322308
129,random,9.0,10.0,729.0,1.04,0.28418595041322303
130,random,0.0,10.0,784.0,1.1018686224489798,0.34605457286220276
131,random,1.0,10.0,784.0,1.0414285714285716,0.2856145218417946
132,random,2.0,10.0,784.0,1.004234693877551,0.24842064429077404
133,random,3.0,10.0,784.0,0.9716900510204083,0.21587600143363128
134,random,4.0,10.0,784.0,1.0879209183673473,0.3321068687805703
135,random,5.0,10.0,784.0,0.985637755102041,0.229823705515264
136,random,6.0,10.0,784.0,1.0414285714285716,0.2856145218417946
137,random,7.0,10.0,784.0,1.0228316326530613,0.2670175830662843
138,random,8.0,10.0,784.0,1.0181823979591837,0.26236834837240675
139,random,9.0,10.0,784.0,0.9437946428571431,0.1879805932703661
140,random,0.0,10.0,900.0,1.05705,0.30123595041322304
141,random,1.0,10.0,900.0,0.9963000000000001,0.24048595041322307
142,random,2.0,10.0,900.0,1.03275,0.27693595041322305
143,random,3.0,10.0,900.0,0.9882000000000002,0.23238595041322319
144,random,4.0,10.0,900.0,1.03275,0.27693595041322305
145,random,5.0,10.0,900.0,1.1745000000000003,0.4186859504132233
146,random,6.0,10.0,900.0,1.06515,0.30933595041322304
147,random,7.0,10.0,900.0,1.0044000000000002,0.24858595041322318
148,random,8.0,10.0,900.0,1.0692000000000002,0.31338595041322315
149,random,9.0,10.0,900.0,0.9193500000000002,0.16353595041322322
150,random,0.0,10.0,1024.0,1.1141455078125002,0.3583314582257232
151,random,1.0,10.0,1024.0,0.9148095703125001,0.1589955207257231
152,random,2.0,10.0,1024.0,1.0322753906250002,0.2764613410382232
153,random,3.0,10.0,1024.0,0.9895605468750002,0.23374649728822317
154,random,4.0,10.0,1024.0,1.0002392578125001,0.2444252082257231
155,random,5.0,10.0,1024.0,0.9788818359375001,0.2230677863507231
156,random,6.0,10.0,1024.0,0.9788818359375001,0.2230677863507231
157,random,7.0,10.0,1024.0,0.9860009765625001,0.23018692697572307
158,random,8.0,10.0,1024.0,1.0322753906250002,0.2764613410382232
159,random,9.0,10.0,1024.0,1.0536328125,0.29781876291322307
160,random,0.0,10.0,1089.0,1.0141735537190084,0.2583595041322314
161,random,1.0,10.0,1089.0,1.030909090909091,0.275095041322314
162,random,2.0,10.0,1089.0,0.9271487603305786,0.17133471074380158
163,random,3.0,10.0,1089.0,1.0643801652892564,0.3085661157024794
164,random,4.0,10.0,1089.0,1.0074793388429752,0.25166528925619824
165,random,5.0,10.0,1089.0,1.0643801652892564,0.3085661157024794
166,random,6.0,10.0,1089.0,0.97400826446281,0.21819421487603297
167,random,7.0,10.0,1089.0,0.9472314049586777,0.19141735537190074
168,random,8.0,10.0,1089.0,1.0677272727272729,0.31191322314049585
169,random,9.0,10.0,1089.0,1.017520661157025,0.2617066115702481
170,random,0.0,10.0,1156.0,0.9427811418685124,0.18696709228173536
171,random,1.0,10.0,1156.0,0.9743122837370243,0.21849823415024727
172,random,2.0,10.0,1156.0,1.0531401384083046,0.29732608882152756
173,random,3.0,10.0,1156.0,1.0216089965397925,0.26579494695301553
174,random,4.0,10.0,1156.0,1.100436851211073,0.3446228016242959
175,random,5.0,10.0,1156.0,0.9774653979238755,0.22165134833709854
176,random,6.0,10.0,1156.0,0.9459342560553634,0.1901202064685864
177,random,7.0,10.0,1156.0,1.0216089965397925,0.26579494695301553
178,random,8.0,10.0,1156.0,0.9932309688581317,0.23741691927135466
179,random,9.0,10.0,1156.0,1.0468339100346022,0.29101986044782524
180,random,0.0,10.0,1225.0,0.996795918367347,0.24098186878057004
181,random,1.0,10.0,1225.0,1.0265510204081634,0.27073697082138637
182,random,2.0,10.0,1225.0,0.9640653061224491,0.2082512565356721
183,random,3.0,10.0,1225.0,0.949187755102041,0.193373705515264
184,random,4.0,10.0,1225.0,0.9253836734693879,0.16956962388261088
185,random,5.0,10.0,1225.0,1.0682081632653062,0.3123941136785292
186,random,6.0,10.0,1225.0,1.086061224489796,0.330247174903019
187,random,7.0,10.0,1225.0,0.9908448979591837,0.23503084837240673
188,random,8.0,10.0,1225.0,1.0563061224489796,0.3004920728622026
189,random,9.0,10.0,1225.0,1.0473795918367348,0.2915655422499578
190,random,0.0,10.0,1296.0,1.0209375000000003,0.26512345041322327
191,random,1.0,10.0,1296.0,1.0462500000000001,0.2904359504132231
192,random,2.0,10.0,1296.0,1.125,0.369185950413223
193,random,3.0,10.0,1296.0,0.9759375000000002,0.22012345041322323
194,random,4.0,10.0,1296.0,0.9393750000000001,0.18356095041322307
195,random,5.0,10.0,1296.0,1.0181250000000002,0.26231095041322317
196,random,6.0,10.0,1296.0,1.0237500000000002,0.26793595041322316
197,random,7.0,10.0,1296.0,0.9646875000000001,0.20887345041322314
198,random,8.0,10.0,1296.0,1.0068750000000002,0.2510609504132232
199,random,9.0,10.0,1296.0,1.0434375,0.287623450413223
200,random,0.0,10.0,1444.0,1.0904709141274238,0.3346568645406468
201,random,1.0,10.0,1444.0,1.0425103878116344,0.2866963382248574
202,random,2.0,10.0,1444.0,0.9137742382271469,0.15796018864036987
203,random,3.0,10.0,1444.0,0.9491135734072024,0.19329952382042537
204,random,4.0,10.0,1444.0,0.9667832409972301,0.21096919141045312
205,random,5.0,10.0,1444.0,0.9491135734072024,0.19329952382042537
206,random,6.0,10.0,1444.0,0.9743559556786705,0.2185419060918935
207,random,7.0,10.0,1444.0,0.994549861495845,0.238735811909068
208,random,8.0,10.0,1444.0,1.0122195290858726,0.25640547949909565
209,random,9.0,10.0,1444.0,1.075325484764543,0.31951143517776603
210,random,0.0,10.0,1521.0,0.963372781065089,0.20755873147831194
211,random,1.0,10.0,1521.0,1.0544378698224854,0.29862382023570844
212,random,2.0,10.0,1521.0,1.0089053254437872,0.2530912758570102
213,random,3.0,10.0,1521.0,1.0113017751479292,0.2554877255611522
214,random,4.0,10.0,1521.0,0.9777514792899409,0.22193742970316388
215,random,5.0,10.0,1521.0,1.0256804733727813,0.26986642378600434
216,random,6.0,10.0,1521.0,1.0352662721893493,0.2794522226025723
217,random,7.0,10.0,1521.0,1.0208875739644971,0.26507352437772014
218,random,8.0,10.0,1521.0,1.0328698224852073,0.2770557728984303
219,random,9.0,10.0,1521.0,1.0640236686390534,0.3082096190522764
220,random,0.0,10.0,1600.0,0.9385875000000001,0.18277345041322313
221,random,1.0,10.0,1600.0,0.9750375000000002,0.21922345041322322
222,random,2.0,10.0,1600.0,1.038825,0.2830109504132231
223,random,3.0,10.0,1600.0,1.0638843750000002,0.3080703254132232
224,random,4.0,10.0,1600.0,1.0274343750000001,0.2716203254132231
225,random,5.0,10.0,1600.0,0.9704812500000001,0.21466720041322307
226,random,6.0,10.0,1600.0,0.9750375000000002,0.21922345041322322
227,random,7.0,10.0,1600.0,0.97959375,0.22377970041322304
228,random,8.0,10.0,1600.0,0.9773156250000001,0.22150157541322313
229,random,9.0,10.0,1600.0,1.03426875,0.27845470041322307
230,random,0.0,10.0,1764.0,0.9939030612244899,0.2380890116377129
231,random,1.0,10.0,1764.0,1.0269642857142858,0.27115023612750877
232,random,2.0,10.0,1764.0,0.9939030612244899,0.2380890116377129
233,random,3.0,10.0,1764.0,1.020765306122449,0.2649512565356721
234,random,4.0,10.0,1764.0,1.0083673469387757,0.2525532973519987
235,random,5.0,10.0,1764.0,1.0434948979591838,0.2876808483724068
236,random,6.0,10.0,1764.0,1.1013520408163266,0.34553799122954965
237,random,7.0,10.0,1764.0,0.9629081632653063,0.20709411367852926
238,random,8.0,10.0,1764.0,1.0125000000000002,0.2566859504132232
239,random,9.0,10.0,1764.0,1.0228316326530613,0.2670175830662843
240,random,0.0,10.0,1936.0,1.0072701446280992,0.25145609504132216
241,random,1.0,10.0,1936.0,1.0825800619834713,0.32676601239669434
242,random,2.0,10.0,1936.0,0.9545532024793388,0.19873915289256183
243,random,3.0,10.0,1936.0,1.0317458677685951,0.2759318181818181
244,random,4.0,10.0,1936.0,1.0035046487603307,0.24769059917355374
245,random,5.0,10.0,1936.0,1.0317458677685951,0.2759318181818181
246,random,6.0,10.0,1936.0,1.0637525826446284,0.30793853305785135
247,random,7.0,10.0,1936.0,0.9827944214876035,0.22698037190082654
