,Strategy,Simulation,Iterations,Samples,Area,Error
0,random,0.0,20.0,200.0,2.15055,0.6371831249999997
1,random,1.0,20.0,200.0,1.49445,-0.018916875000000166
2,random,2.0,20.0,200.0,1.8954000000000002,0.382033125
3,random,3.0,20.0,200.0,2.07765,0.564283125
4,random,4.0,20.0,200.0,1.8225000000000002,0.309133125
5,random,5.0,20.0,200.0,1.6402500000000002,0.12688312499999999
6,random,6.0,20.0,200.0,1.4215500000000003,-0.09181687499999991
7,random,7.0,20.0,200.0,1.7860500000000001,0.2726831249999999
8,random,8.0,20.0,200.0,1.7496000000000003,0.23623312500000004
9,random,9.0,20.0,200.0,1.7131500000000002,0.19978312499999995
10,random,10.0,20.0,200.0,1.7131500000000002,0.19978312499999995
11,random,11.0,20.0,200.0,2.0412000000000003,0.5278331250000001
12,random,12.0,20.0,200.0,1.6402500000000002,0.12688312499999999
13,random,13.0,20.0,200.0,1.6767000000000003,0.16333312500000008
14,random,14.0,20.0,200.0,1.5309000000000001,0.017533124999999927
15,random,15.0,20.0,200.0,1.7131500000000002,0.19978312499999995
16,random,16.0,20.0,200.0,1.8225000000000002,0.309133125
17,random,17.0,20.0,200.0,1.5673500000000002,0.05398312500000002
18,random,18.0,20.0,200.0,1.6402500000000002,0.12688312499999999
19,random,19.0,20.0,200.0,1.8589500000000003,0.3455831250000001
20,random,20.0,20.0,200.0,1.7131500000000002,0.19978312499999995
21,random,21.0,20.0,200.0,1.5673500000000002,0.05398312500000002
22,random,22.0,20.0,200.0,1.7496000000000003,0.23623312500000004
23,random,23.0,20.0,200.0,1.5309000000000001,0.017533124999999927
24,random,24.0,20.0,200.0,1.9318500000000003,0.41848312500000007
25,random,25.0,20.0,200.0,1.7860500000000001,0.2726831249999999
26,random,26.0,20.0,200.0,1.7131500000000002,0.19978312499999995
27,random,27.0,20.0,200.0,1.3851000000000002,-0.128266875
28,random,28.0,20.0,200.0,1.8225000000000002,0.309133125
29,random,29.0,20.0,200.0,1.6402500000000002,0.12688312499999999
30,random,30.0,20.0,200.0,2.07765,0.564283125
31,random,31.0,20.0,200.0,1.8954000000000002,0.382033125
32,random,32.0,20.0,200.0,1.4215500000000003,-0.09181687499999991
33,random,33.0,20.0,200.0,2.0047500000000005,0.49138312500000025
34,random,34.0,20.0,200.0,1.4580000000000002,-0.05536687500000004
35,random,35.0,20.0,200.0,1.6767000000000003,0.16333312500000008
36,random,36.0,20.0,200.0,1.6767000000000003,0.16333312500000008
37,random,37.0,20.0,200.0,1.7131500000000002,0.19978312499999995
38,random,38.0,20.0,200.0,1.4215500000000003,-0.09181687499999991
39,random,39.0,20.0,200.0,1.5309000000000001,0.017533124999999927
40,random,40.0,20.0,200.0,1.6767000000000003,0.16333312500000008
41,random,41.0,20.0,200.0,1.8954000000000002,0.382033125
42,random,42.0,20.0,200.0,1.8589500000000003,0.3455831250000001
43,random,43.0,20.0,200.0,1.6402500000000002,0.12688312499999999
44,random,44.0,20.0,200.0,1.6038000000000001,0.09043312499999989
45,random,45.0,20.0,200.0,1.7131500000000002,0.19978312499999995
46,random,46.0,20.0,200.0,1.6038000000000001,0.09043312499999989
47,random,47.0,20.0,200.0,1.6767000000000003,0.16333312500000008
48,random,48.0,20.0,200.0,1.8954000000000002,0.382033125
49,random,49.0,20.0,200.0,1.6767000000000003,0.16333312500000008
50,random,50.0,20.0,200.0,1.8589500000000003,0.3455831250000001
51,random,51.0,20.0,200.0,1.9318500000000003,0.41848312500000007
52,random,52.0,20.0,200.0,1.6402500000000002,0.12688312499999999
53,random,53.0,20.0,200.0,1.6038000000000001,0.09043312499999989
54,random,54.0,20.0,200.0,1.7496000000000003,0.23623312500000004
55,random,55.0,20.0,200.0,1.7131500000000002,0.19978312499999995
